name,yr_est,yrs_opr,address,city,state,zip,enrol_nbr,mascot,gr_served,day_or_res,phone_nbr,vp_nbr,website,lat,long
Alabama Institute for the Deaf and Blind,1858,165,205 South Street East,Talladega,Alabama,35160,NA,Silent Warriors,PreK-12,Residential,(256) 761-3215,(256) 474-0237,https://www.aidb.org,33.43083,-86.0992
Alaska State School for the Deaf and Hard of Hearing,1973,50,5530 E Northern Lights Blvd,Anchorage,Alaska,99504,31,Seals,PreK-12,Residential,(907) 742-4000,NA,https://www.asdk12.org/aksdhh,61.19399,-149.775
American School for the Deaf,1817,206,139 North Main Street,West Hartford,Connecticut,06107,144,Tigers,K-12,Residential,(860) 570-2300,(860) 899-1217,http://www.asd-1817.org/,41.77111,-72.7471
Arizona State Schools for the Deaf and Blind,1912,111,1200 W Speedway Blvd,Tucson,Arizona,85745,112,Sentinels,PreK-12,Residential,(520) 770-3362,NA,https://asdb.az.gov/tucsoncampus/,32.23709,-110.99
Arkansas School for the Deaf,1849,174,2400 W Markham St,Little Rock,Arkansas,72205,106,Leopards,PreK-12,Residential,(501) 324-9506,NA,https://asd.ade.arkansas.gov/,34.75164,-92.2978
Atlanta Area School for the Deaf,1972,51,890 N Indian Creek Drive,Clarkston,Georgia,30021,154,Panthers,PreK-12,Day,(404) 296-7101,(404) 348-8401,https://www.aasdweb.com/,33.80259,-84.24
Beverly School for the Deaf,1876,147,6 Echo Avenue,Beverly,Massachusetts,01915,NA,NA,PreK-12,Day,(978) 927-7070,NA,https://cccbsd.org/programs/beverly-school-for-the-deaf/,42.5565,-70.8929
Bruce Street School for the Deaf,1910,113,333 Clinton Place,Newark,New Jersey,07112,NA,NA,PreK-8,Day,(973) 705-3800,NA,https://www.nps.k12.nj.us/bru/our-school/,40.7126,-74.2153
"California School for the Deaf, Fremont",1860,163,39350 Gallaudet Drive,Fremont,California,94538,318,Eagles,PreK-12,Residential,(510) 248-4204,(510) 248-4204,https://www.csdeagles.com/,37.56081,-121.964
"California School for the Deaf, Riverside",1950,73,3044 Horace Street,Riverside,California,92506,298,Cubs,PIP-12,Residential,(951) 824-8114,NA,https://www.csdr-cde.ca.gov/,33.94483,-117.383
Colorado School for the Deaf and Blind,1874,149,33 N Institute Street,Colorado Springs,Colorado,80903,162,Bulldogs,PreK-12,Residential,(719) 578-2100,(719) 358-2600,https://csdb.colorado.gov/,38.83494,-104.807
Delaware School for the Deaf,1929,94,630 E. Chestnut Hill Road,Newark,Delaware,19713,122,Blue Hawks,K-12,Residential,(302) 454-2301,(302) 358-2106,https://dsdeaf.org/,39.67479,-75.7063
Eastern North Carolina School for the Deaf,1964,59,1311 US Hwy 301 South,Wilson,North Carolina,27893-6621,46,Fighting Hornets,PreK-12,Residential,(252) 237-2450,NA,http://encsd.net/,35.72734,-77.8908
Florida School for the Deaf and Blind,1885,138,207 San Marco Avenue,St. Augustine,Florida,32084,NA,Dragons,PreK-12,Residential,(904) 827-2200,(904) 201-8046,https://www.fsdbk12.org/,29.91388,-81.3188
Georgia School for the Deaf,1846,177,232 Perry Farm Road SW,Cave Spring,Georgia,30124,74,Tigers,PreK-12,Residential,(706) 777-2200,NA,https://www.gsdweb.org/,34.09622,-85.349
Governor Baxter School for the Deaf,1957,66,1 Mackworth Island,Falmouth,Maine,04105,NA,Islanders,PreK-12,Residential,(207) 781-3165,NA,https://www.mecdhh.org/,43.68795,-70.2327
Hawaii School for the Deaf and the Blind,1914,109,3440 Leahi Avenue,Honolulu,Hawaii,96815,50,Dolphins,K-12,Residential,(808) 307-6900,(808) 447-1453,https://www.hsdb.k12.hi.us/,21.27335,-157.815
Horace Mann School for the Deaf and Hard of Hearing,1869,154,40 Armington Street,Allston,Massachusetts,02134,70,Cougars,PreK-12,Day,(617) 635-8534,NA,https://www.bostonpublicschools.org/horacemann,42.3522,-71.1377
Idaho School for the Deaf and the Blind,1906,117,1450 Main Street,Gooding,Idaho,83330,111,Raptors,K-12,Residential,(208) 934-4457,NA,https://www.iesdb.org/,42.92916,-114.712
Illinois School for the Deaf,1839,184,125 South Webster Avenue,Jacksonville,Illinois,62650,72,Tigers,PreK-12,Residential,(217) 479-4200,NA,http://www.illinoisdeaf.org/,39.7338,-90.2531
Indiana School for the Deaf,1843,180,1200 E 42nd Street,Indianapolis,Indiana,46205,138,Orioles,PreK-12,Residential,(317) 550-4800,NA,https://www.deafhoosiers.com/,39.83478,-86.1363
Iowa School for the Deaf,1855,168,3501 Harry Langdon Blvd,Council Bluffs,Iowa,51503,96,Bobcats,PreK-12,Residential,(712) 366-0571,(712) 796-0025,https://www.iowaschoolforthedeaf.org/,41.22539,-95.8199
Jean Massieu School for the Deaf,1999,24,1655 East 3300 South,Salt Lake City,Utah,84106,104,Yellowjackets,PreK-12,Day,(801) 464-2000,(385) 282-6946,https://www.usdb.org/,40.70074,-111.844
Kansas School for the Deaf,1861,162,450 E Park Street,Olathe,Kansas,66061,150,Jackrabbits,PreK-12,Residential,(913) 210-8200,NA,https://www.ksdeaf.org/,38.88298,-94.8127
Kendall Demonstration Elementary School,1857,166,800 Florida Avenue NE,Washington,District of Columbia,20002,112,Wildcats,PreK-8,Day,(202) 250-2761,NA,https://kdes.gallaudet.edu/,38.90879,-76.9897
Kentucky School for the Deaf,1823,200,303 S. 2nd Street,Danville,Kentucky,40422,64,Colonels,PreK-12,Residential,(859) 239-7017,(859) 439-0002,https://www.ksd.kyschools.us/,37.64021,-84.769
Lexington School and Center for the Deaf,1865,158,25-26 75th Street,East Elmhurst,New York,11370,250,Blue Jays,PreK-12,Day,(718) 350-3300,(917) 832-1676,https://www.lexnyc.org/,40.76164,-73.8935
Louisiana School for the Deaf,1852,171,2888 Brightside Drive,Baton Rouge,Louisiana,70820,89,War Eagles,PreK-12,Residential,(225) 757-3273,NA,https://www.ssdofla.org/schools___programs/louisiana_school_for_the_deaf,30.39337,-91.1884
Marlton School,1968,55,4000 Santo Tomas Drive,Los Angeles,California,90008,NA,Eagles,K-12,Day,(323) 296-7680,NA,https://marltonschool.lausd.org/,34.00893,-118.344
Maryland School for the Deaf - Columbia Campus,1973,50,8169 Old Montgomery Road,Ellicott City,Maryland,21043,148,Orioles,PreK-8,Residential,(410) 696-7449,NA,https://www.msd.edu/,39.20747,-76.7947
Maryland School for the Deaf - Frederick Campus,1868,155,101 Clarke Place,Frederick,Maryland,21701,345,Orioles,K-12,Residential,(240) 575-2966,NA,https://www.msd.edu/,39.40868,-77.4102
Metro Deaf School,1993,30,1125 Energy Park Drive,St. Paul,Minnesota,55108,148,Cheetahs,PreK-12,Day,(651) 224-3995,(651) 964-1630,https://www.mdsmn.org/,44.97233,-93.1475
Michigan School for the Deaf,1848,175,1235 W. Court Street,Flint,Michigan,48503,86,Tartars,PreK-12,Residential,(810) 257-1400,(810) 257-1490,https://www.michiganschoolforthedeaf.org/,43.00588,-83.7005
Minnesota State Academy for the Deaf,1863,160,615 Olof Hanson Drive,Faribault,Minnesota,55021,97,Trojans,PreK-12,Residential,(507) 384-6600,NA,https://www.msa.state.mn.us/,44.29776,-93.2608
Mississippi School for the Deaf,1854,169,1403 Eastover Drive,Jackson,Mississippi,39211,77,Bulldogs,PreK-12,Residential,(601) 984-8203,NA,https://msdbk12.org/,32.34078,-90.1571
Missouri School for the Deaf,1851,172,505 East Fifth Street,Fulton,Missouri,65251-1799,44,Eagles,PreK-12,Residential,(573) 592-4000,(573) 826-4816,https://msd.dese.mo.gov/,38.84868,-91.9408
Model Secondary School for the Deaf,1969,54,800 Florida Avenue NE,Washington,District of Columbia,20002,161,Eagles,9-12,Residential,(202) 250-2152,NA,https://mssd.gallaudet.edu/,38.91019,-76.9906
Montana School for the Deaf and Blind,1893,130,3911 Central Avenue,Great Falls,Montana,59405,NA,Mustangs,PreK-12,Residential,(406) 771-6000,(406) 205-0016,https://www.msdbmustangs.org/,47.5065,-111.239
Marie H. Katzenbach School for the Deaf,1883,140,320 Sullivan Way ,Trenton,New Jersey,08628,93,Colts,PreK-12,Residential,(609) 530-3112,NA,https://www.nj.gov/education/mksd/,40.25371,-74.8131
