geography,geographic_area_name,state_short,total,moe_total,total_male,moe_total_male,total_male_under5,moe_total_male_under5,total_male_under5_hearing_diff,moe_total_male_under5_hearing_diff,total_male_under5_no_hearing_diff,moe_total_male_under5_no_hearing_diff,total_male_5to17,moe_total_male_5to17,total_male_5to17_hearing_diff,moe_total_male_5to17_hearing_diff,total_male_5to17_no_hearing_diff,moe_total_male_5to17_no_hearing_diff,total_male_18to34,moe_total_male_18to34,total_male_18to34_hearing_diff,moe_total_male_18to34_hearing_diff,total_male_18to34_no_hearing_diff,moe_total_male_18to34_no_hearing_diff,total_male_35to64,moe_total_male_35to64,total_male_35to64_hearing_diff,moe_total_male_35to64_hearing_diff,total_male_35to64_no_hearing_diff,moe_total_male_35to64_no_hearing_diff,total_male_65to74,moe_total_male_65to74,total_male_65to74_hearing_diff,moe_total_male_65to74_hearing_diff,total_male_65to74_no_hearing_diff,moe_total_male_65to74_no_hearing_diff,total_male_75plus,moe_total_male_75plus,total_male_75plus_hearing_diff,moe_total_male_75plus_hearing_diff,total_male_75plus_no_hearing_diff,moe_total_male_75plus_no_hearing_diff,total_female,moe_total_female,total_female_under5,moe_total_female_under5,total_female_under5_hearing_diff,moe_total_female_under5_hearing_diff,total_female_under5_no_hearing_diff,moe_total_female_under5_no_hearing_diff,total_female_5to17,moe_total_female_5to17,total_female_5to17_hearing_diff,moe_total_female_5to17_hearing_diff,total_female_5to17_no_hearing_diff,moe_total_female_5to17_no_hearing_diff,total_female_18to34,moe_total_female_18to34,total_female_18to34_hearing_diff,moe_total_female_18to34_hearing_diff,total_female_18to34_no_hearing_diff,moe_total_female_18to34_no_hearing_diff,total_female_35to64,moe_total_female_35to64,total_female_35to64_hearing_diff,moe_total_female_35to64_hearing_diff,total_female_35to64_no_hearing_diff,moe_total_female_35to64_no_hearing_diff,total_female_65to74,moe_total_female_65to74,total_female_65to74_hearing_diff,moe_total_female_65to74_hearing_diff,total_female_65to74_no_hearing_diff,moe_total_female_65to74_no_hearing_diff,total_female_75plus,moe_total_female_75plus,total_female_75plus_hearing_diff,moe_total_female_75plus_hearing_diff,total_female_75plus_no_hearing_diff,moe_total_female_75plus_no_hearing_diff
0400000US01,Alabama,AL,4969866,971,2394520,1670,150157,935,418,170,149739,973,424766,966,2424,446,422342,1070,540849,1294,6745,739,534104,1464,897909,1314,42901,1834,855008,2413,242460,749,36974,1588,205486,1698,138379,667,41214,1384,97165,1281,2575346,1421,144241,855,480,203,143761,864,407269,914,1729,377,405540,999,566171,942,6000,782,560171,1192,978132,818,25390,1402,952742,1607,282075,565,18183,975,263892,1066,197458,840,34485,1160,162973,1337
0400000US02,Alaska,AK,704133,1934,360244,1851,24436,245,120,59,24316,259,66860,399,390,92,66470,419,83307,1614,1109,231,82198,1620,137549,1099,8431,650,129118,1312,33756,351,6799,524,26957,535,14336,250,4940,342,9396,392,343889,751,23389,240,217,98,23172,249,63461,422,377,123,63084,434,79243,672,1028,242,78215,729,129715,540,4032,385,125683,666,31726,323,2425,309,29301,411,16355,231,3490,323,12865,387
0400000US04,Arizona,AZ,7154961,1212,3538403,1611,203918,257,1095,313,202823,356,609221,629,4284,635,604937,892,829855,1571,8767,884,821088,1714,1278706,1452,45594,1962,1233112,2279,361534,606,48468,1689,313066,1664,255169,474,68757,1953,186412,1906,3616558,1209,195563,335,849,272,194714,390,583617,376,3827,545,579790,663,807363,643,6700,660,800663,967,1316270,933,27478,1558,1288792,1841,410400,453,23941,1195,386459,1296,303345,620,53490,1655,249855,1717
0400000US05,Arkansas,AR,2977706,755,1457529,1468,93143,613,598,213,92545,677,267418,869,2083,341,265335,976,328409,1099,4779,695,323630,1362,539254,1213,29428,1447,509826,1844,142138,597,25847,1160,116291,1398,87167,501,28019,1073,59148,1165,1520177,1322,89295,712,361,127,88934,710,254817,824,1671,341,253146,870,331356,781,3461,471,327895,921,564892,878,16714,1063,548178,1386,162748,602,11687,902,151061,1020,117069,628,22323,1004,94746,1078
0400000US06,California,CA,38761738,3244,19237525,3563,1132401,699,6750,827,1125651,1065,3332430,975,17758,1113,3314672,1498,4648048,2802,39450,1898,4608598,3211,7466529,2201,178142,3622,7288387,3983,1642453,1001,152166,2683,1490287,2889,1015664,879,251525,3363,764139,3550,19524213,2408,1081572,766,4876,626,1076696,982,3175755,859,15437,1111,3160318,1312,4553789,1577,28285,1626,4525504,2353,7481349,1649,120558,3222,7360791,3411,1855233,901,91461,2193,1763772,2343,1376515,1257,249357,3823,1127158,3853
0400000US08,Colorado,CO,5713803,1552,2867844,1531,161034,661,710,219,160324,723,473536,653,3127,470,470409,854,712412,1421,7666,899,704746,1647,1120142,1313,38176,1499,1081966,2028,262274,657,33698,1180,228576,1248,138446,622,39302,1142,99144,1042,2845959,1344,154436,527,428,165,154008,577,450676,642,2359,450,448317,741,680719,916,6001,672,674718,1194,1096837,976,21061,1333,1075776,1458,283296,518,16328,797,266968,934,179995,752,33716,1470,146279,1435
0400000US09,Connecticut,CT,3555703,718,1738476,917,92968,201,323,155,92645,234,281252,362,2005,396,279247,490,387272,785,3553,652,383719,993,692633,754,15916,1048,676717,1282,174954,392,14152,735,160802,742,109397,388,24174,1077,85223,1169,1817227,622,88269,209,419,245,87850,335,270729,238,1220,280,269509,380,382125,462,2559,545,379566,648,727393,434,13000,1112,714393,1216,196950,280,9015,747,187935,805,151761,439,23056,998,128705,1114
0400000US10,Delaware,DE,992298,677,478050,703,27732,119,90,125,27642,168,78954,127,381,150,78573,187,102294,431,1274,312,101020,562,179587,486,5432,589,174155,743,56262,158,5602,543,50660,576,33221,181,6987,513,26234,538,514248,361,26813,116,166,154,26647,195,76766,97,424,187,76342,210,106353,208,733,251,105620,332,196546,221,3687,537,192859,586,65177,165,3556,423,61621,446,42593,198,7393,664,35200,736
0400000US11,District of Columbia,DC,663014,407,313453,431,20900,36,224,148,20676,150,42655,26,304,177,42351,176,95197,312,591,175,94606,332,120112,369,2098,458,118014,617,21405,159,903,254,20502,312,13184,158,1964,340,11220,369,349561,365,20013,50,74,70,19939,89,41837,98,189,126,41648,159,113834,194,836,288,112998,365,125239,218,2187,441,123052,497,27788,164,918,226,26870,250,20850,220,2680,392,18170,394
0400000US12,Florida,FL,21591588,2889,10532403,3063,569515,891,2694,512,566821,1008,1629192,1012,9765,931,1619427,1422,2213691,2321,20706,1500,2192985,2616,4057186,2138,120299,3260,3936887,4101,1176376,1210,121271,2931,1055105,3093,886443,1238,205215,3245,681228,3442,11059185,2613,544748,882,1904,461,542844,950,1558271,832,8682,944,1549589,1278,2228548,1555,12975,1190,2215573,1956,4261594,1324,77436,2944,4184158,3414,1360128,1131,66126,2257,1294002,2169,1105896,1345,177160,3952,928736,4072
0400000US13,Georgia,GA,10627519,1963,5131185,2899,327550,1187,1574,364,325976,1266,969588,2141,5441,1038,964147,2379,1183780,1969,10810,940,1172970,2248,1967186,2148,62171,1961,1905015,2921,440340,1089,54930,1933,385410,2079,242741,829,64414,1723,178327,1913,5496334,2564,311542,1097,1296,333,310246,1170,931068,1491,5051,744,926017,1575,1247889,1777,9578,924,1238311,2106,2142643,1627,41790,2042,2100853,2517,522464,970,30014,1391,492450,1590,340728,904,62028,2030,278700,2184
0400000US15,Hawaii,HI,1386108,1240,679460,1095,42350,80,205,112,42145,142,113191,154,702,177,112489,249,132148,853,1266,272,130882,912,261431,807,8260,719,253171,1007,78470,189,8446,640,70024,647,51870,216,13824,793,38046,823,706648,786,39671,97,224,150,39447,174,106153,141,647,228,105506,283,139855,588,775,192,139080,636,268283,404,4208,543,264075,666,83535,166,3902,412,79633,432,69151,281,12468,660,56683,691
0400000US16,Idaho,ID,1866785,530,934050,1034,57953,381,123,79,57830,385,179496,538,1728,400,177768,716,210982,686,2345,388,208637,858,338946,781,16678,1034,322268,1350,93257,397,15852,973,77405,1060,53416,453,18706,828,34710,881,932735,836,55313,411,211,111,55102,443,169869,399,812,201,169057,427,210798,558,1829,327,208969,703,336911,682,8234,900,328677,1067,97523,366,5805,555,91718,663,62321,398,12818,746,49503,863
0400000US17,Illinois,IL,12522498,1034,6158033,1766,362371,594,1737,392,360634,640,1071722,817,5922,590,1065800,1022,1411574,1400,11986,945,1399588,1489,2401519,1313,62397,1742,2339122,2488,576253,728,53176,1438,523077,1537,334594,744,77208,1887,257386,1988,6364465,1632,346154,531,1309,353,344845,634,1026425,696,4606,563,1021819,900,1409990,1097,10634,905,1399356,1451,2454660,1056,42317,1540,2412343,1737,651062,795,31749,1503,619313,1689,476174,1059,78058,1856,398116,1964
0400000US18,Indiana,IN,6714911,753,3316037,1598,211427,686,1015,251,210412,699,605961,951,4191,489,601770,948,767861,1152,8138,692,759723,1317,1244847,1451,48134,1851,1196713,2381,312333,791,38013,1472,274320,1602,173608,700,48313,1249,125295,1428,3398874,1450,200357,681,507,177,199850,737,576396,954,2558,459,573838,1096,759187,987,6089,739,753098,1202,1273206,1132,29320,1464,1243886,1767,348059,797,21431,1087,326628,1300,241669,886,43648,1491,198021,1807
0400000US19,Iowa,IA,3149616,467,1575754,1105,96761,552,495,200,96266,630,280075,709,1335,246,278740,795,360466,929,3662,469,356804,1026,587180,1014,21438,943,565742,1403,159482,445,20474,839,139008,1010,91790,513,24635,756,67155,936,1573862,1032,91819,602,335,156,91484,634,266711,720,1453,288,265258,828,346041,736,2466,412,343575,838,577176,854,12075,770,565101,1151,167393,465,9337,640,158056,742,124722,594,21138,906,103584,906
0400000US20,Kansas,KS,2875799,1003,1429687,1342,92412,560,453,173,91959,575,269259,771,2026,345,267233,829,329334,1028,3961,449,325373,1103,523246,1069,24144,1013,499102,1466,136854,521,20033,970,116821,1021,78582,420,22598,984,55984,996,1446112,1130,87048,539,381,159,86667,546,255325,678,1493,264,253832,696,322536,867,2808,431,319728,959,528105,926,12860,848,515245,1296,147853,458,8301,626,139552,797,105245,638,19701,986,85544,1072
0400000US21,Kentucky,KY,4429333,712,2177634,1561,137243,645,751,217,136492,644,386414,1125,2930,595,383484,1298,487174,1178,6189,699,480985,1371,829263,1221,45383,1776,783880,2070,218081,843,35176,1366,182905,1476,119459,508,38597,1252,80862,1358,2251699,1503,130120,659,498,176,129622,653,367611,954,2718,474,364893,1053,484486,949,5008,637,479478,1098,861389,1165,27221,1222,834168,1594,244482,775,18436,895,226046,1179,163611,823,33870,1327,129741,1486
0400000US22,Louisiana,LA,4523071,1047,2185543,1810,147818,891,828,263,146990,979,407912,944,3506,578,404406,1095,491060,1404,5782,785,485278,1651,811972,1494,37085,1752,774887,2328,211016,644,31681,1538,179335,1560,115765,600,34716,1271,81049,1360,2337528,1434,141253,844,649,251,140604,874,390717,853,2576,477,388141,965,518785,1005,4797,675,513988,1335,880263,1114,22921,1371,857342,1767,244285,675,16721,992,227564,1129,162225,686,30139,1434,132086,1525
0400000US23,Maine,ME,1359807,336,668460,659,32281,245,151,93,32130,281,96947,425,649,156,96298,440,136495,472,1966,374,134529,628,267674,487,11862,784,255812,955,86313,312,11946,672,74367,753,48750,437,14402,635,34348,653,691347,556,30634,234,71,52,30563,239,91590,325,551,146,91039,348,135426,319,1196,288,134230,435,277599,431,7084,595,270515,711,93563,403,5393,450,88170,539,62535,521,11828,595,50707,714
0400000US24,Maryland,MD,6079418,1477,2938305,1814,182914,446,508,211,182406,485,519112,540,2046,411,517066,658,641339,1250,4712,657,636627,1315,1164320,1087,26034,1301,1138286,1807,270308,555,21687,1352,248621,1412,160312,511,32272,1089,128040,1239,3141113,1324,176426,377,500,216,175926,434,496706,432,3220,734,493486,855,665120,801,4135,513,660985,964,1254238,659,19740,1207,1234498,1456,319822,525,14429,802,305393,862,228801,623,35345,1412,193456,1520
0400000US25,Massachusetts,MA,6926890,600,3379196,1133,179662,345,667,219,178995,402,519879,505,3013,455,516866,611,819604,794,5842,806,813762,1114,1332150,775,31370,1409,1300780,1585,332976,436,30896,1343,302080,1329,194925,535,45143,1429,149782,1392,3547694,938,170673,348,680,232,169993,430,495533,406,2850,629,492683,813,831511,606,5317,694,826194,953,1391202,502,23652,1402,1367550,1513,380766,445,18085,1167,362681,1199,278009,636,48189,1480,229820,1504
0400000US26,Michigan,MI,9944298,562,4908227,1154,281634,314,1311,317,280323,457,822251,550,5086,631,817165,833,1120562,1213,10950,779,1109612,1456,1869252,1348,65751,2116,1803501,2624,519681,629,60666,1780,459015,1769,294847,619,75710,1662,219137,1807,5036071,1085,267896,358,1251,220,266645,421,780838,497,3978,448,776860,708,1098394,728,7915,601,1090479,974,1917856,793,40615,1495,1877241,1763,574056,557,31285,1221,542771,1298,397031,716,68953,1626,328078,1641
0400000US27,Minnesota,MN,5652888,617,2828256,1151,173063,435,991,258,172072,485,498315,575,2388,295,495927,568,628522,742,6369,584,622153,879,1096239,977,32679,1301,1063560,1504,275017,491,32449,940,242568,978,157100,597,41503,1051,115597,1219,2824632,1121,166013,438,691,178,165322,496,478469,549,2330,311,476139,671,610995,637,4803,486,606192,793,1073376,817,19063,941,1054313,1272,289539,571,13973,754,275566,871,206240,710,34783,1204,171457,1373
0400000US28,Mississippi,MS,2884445,1001,1382097,1659,91013,864,554,213,90459,874,261191,1011,2264,428,258927,1068,309542,1340,4380,676,305162,1346,509347,1207,23148,1430,486199,2037,136143,604,20483,990,115660,1122,74861,665,21727,942,53134,1038,1502348,1562,86119,845,280,144,85839,867,253176,848,1205,266,251971,896,328128,971,3012,567,325116,989,567380,1163,14879,1051,552501,1594,158983,608,9892,716,149091,960,108562,626,20232,1208,88330,1137
0400000US29,Missouri,MO,6062789,972,2971899,1645,184154,552,600,176,183554,579,524471,793,3319,428,521152,837,667251,1337,7744,852,659507,1531,1126012,1253,46334,1591,1079678,1998,295288,633,41540,1329,253748,1455,174723,608,52122,1409,122601,1564,3090890,1431,175761,644,1002,304,174759,701,499212,655,2796,406,496416,832,677136,1097,5977,755,671159,1308,1165527,1094,28066,1572,1137461,2149,334182,737,19780,954,314402,1321,239072,805,42884,1321,196188,1471
0400000US30,Montana,MT,1088176,351,549275,867,30383,385,192,105,30191,374,90303,422,604,189,89699,435,121818,527,1781,288,120037,572,203981,618,11140,861,192841,1137,65633,263,11043,707,54590,725,37157,265,12285,607,24872,622,538901,755,28449,307,132,66,28317,325,85016,409,371,137,84645,445,114856,500,1137,271,113719,519,201114,548,4769,418,196345,638,67470,332,4343,460,63127,593,41996,295,8266,608,33730,699
0400000US31,Nebraska,NE,1937542,526,968848,993,64913,428,198,102,64715,437,183626,453,999,222,182627,501,220246,673,2729,418,217517,788,356599,808,13911,838,342688,1207,91051,348,12412,755,78639,801,52413,313,16118,622,36295,597,968694,859,62088,414,92,56,61996,413,173314,464,1105,275,172209,530,215479,540,1634,252,213845,567,349559,668,7749,655,341810,952,98219,293,5439,408,92780,468,70035,413,12123,696,57912,806
